縣市,鄉鎮市區,門市店名,地址
基隆市,安樂區,OK基隆興寮店,基隆市安樂區基金一路112巷110弄15之10號
基隆市,中山區,OK基隆慶城店,基隆市中山區中和路168巷9弄21號1樓
基隆市,仁愛區,OK基隆愛一店,基隆市仁愛區愛一路26號1樓
基隆市,中正區,OK基隆建心店,基隆市中正區祥豐街95之6號1樓
基隆市,信義區,OK基隆東信店,基隆市信義區東信路294、296號1樓
基隆市,信義區,OK基隆威鎮店,基隆市信義區正信路227巷21弄36號1樓
基隆市,信義區,OK基隆東峰店,基隆市信義區東峰街24號1樓
基隆市,中正區,OK基隆海事門市,基隆市中正區祥豐街246號勤學樓B1學生餐廳
基隆市,安樂區,OK基隆安樂店,基隆市安樂區安樂路２段128號1.2樓
基隆市,安樂區,OK基隆武隆店,基隆市安樂區武隆街103巷1號
基隆市,安樂區,OK基隆大武聖店,"基隆市安樂區武聖街110,112號1F"
基隆市,安樂區,OK基隆安和店,基隆市安樂區安和二街8-2號
基隆市,安樂區,OK基隆橘郡店,基隆市安樂區麥金路191-2號
台北市,內湖區,OK港墘店,台北市內湖區港墘路84號
台北市,大安區,OK金山南路店,台北市大安區金山南路２段113號
台北市,中正區,OK華山店,台北市中正區紹興北街8-1號
台北市,中正區,OK汀州路店,台北市中正區汀州路３段109號
台北市,北投區,OK北投吉利店,台北市北投區吉利街140號
台北市,萬華區,OK萬大店,台北市萬華區萬大路423巷12號
台北市,中山區,OK亞都店,台北市中山區民權東路２段71巷7號
台北市,文山區,OK興隆店,台北市文山區興隆路１段138號
台北市,內湖區,OK內湖明湖店,台北市內湖區東湖路43巷26弄1號
台北市,南港區,OK成福店,台北市南港區成福路44號
台北市,松山區,OK台北新東店,台北市松山區新東街11巷28號
台北市,信義區,OK北醫店,台北市信義區吳興街220巷33號
台北市,松山區,OK台北豐達店,台北市松山區敦化北路155巷87號之1
台北市,中山區,OK北安店,台北市中山區北安路476號
台北市,北投區,OK北投唭哩岸店,台北市北投區立農街１段277號1樓
台北市,萬華區,OK台北銘德店,台北市萬華區萬大路424巷112之4、之5號1樓
台北市,文山區,OK台北萬美店,台北市文山區辛亥路４段99號
