門市店號,門市店名,Y,X,地址
188946              ,十八甲,25.057739,121.432009,新北市泰山區福興一街87號
262259              ,十興,24.8257251672557,121.02466001706199,新竹縣竹北市莊敬北路130號
214652              ,三中,24.158985,120.661106,台中市西區忠明路54-1號1樓、博館路231號233號235號237號1樓
249566              ,三元,25.004812791267803,121.317916224145,桃園市桃園區大業路一段54號56號1樓
126959              ,三爪坑,25.107545,121.813879,新北市瑞芳區三爪子坑路15號17號
234346              ,三本,24.954665,121.305803,桃園市八德區和平路276巷59號1樓
239204              ,三民,24.086168,120.545639,彰化縣彰化市三民路341號
174028              ,三玉,25.1180611841008,121.535807383839,台北市士林區天母東路88之1號1樓
264211              ,三田,25.068206,121.47881,新北市三重區福田里三民街274號276號1樓
249234              ,三禾,25.071002,121.490777,新北市三重區大智街139號139之2號1樓
