縣市,鄉鎮市區,門市店名,門市店號,地址,緯度,經度
臺東縣,臺東市,台東門市,95042,臺東縣臺東市中華路一段405、407號1、2樓,22.7535515,121.1525857
臺東縣,臺東市,東昇門市,95053,臺東縣臺東市新生路207號1樓,22.7557777,121.1443548
花蓮縣,花蓮市,國聯門市,97050,花蓮縣花蓮市國聯五路100號,23.9917077,121.6054294
花蓮縣,花蓮市,蓮冠門市,97053,花蓮縣花蓮市中山路549-1號,23.9869617,121.6013749
花蓮縣,花蓮市,花蓮門市,97061,花蓮縣花蓮市中正路546、548號1、2樓,23.9778231,121.608452
花蓮縣,吉安鄉,吉安門市,97365,花蓮縣吉安鄉中山路3段16.18.20號,23.973865,121.57841
澎湖縣,馬公市,澎湖門市,88041,澎湖縣馬公市中正路83號1、2樓,23.5668993,119.5653851
澎湖縣,馬公市,北辰門市,88048,澎湖縣馬公市中華路61之4號,23.5701424,119.5710931
金門縣,金寧鄉,金采門市,89248,金門縣金寧鄉伯玉路一段222-1號,24.4356619,118.3274452
金門縣,金城鎮,金門門市,89345,金門縣金城鎮民族路7-5、7-7、7-9號1樓,24.4310219,118.3213428
